domain,response_code,target,nameservers
ataxian.de,301,https://afileon.com,"ns1.markmonitor.com., ns3.markmonitor.com., ns4.markmonitor.com., ns2.markmonitor.com., ns5.markmonitor.com., ns6.markmonitor.com., ns7.markmonitor.com."
auventis.com,302,http://www.auventis.com/,"dns2.registrar-servers.com., dns1.registrar-servers.com."
auventis.de,Error,,
axuna.de,301,https://afileon.com,"ns6.markmonitor.com., ns1.markmonitor.com., ns3.markmonitor.com., ns2.markmonitor.com., ns5.markmonitor.com., ns4.markmonitor.com., ns7.markmonitor.com."
brandprotection.partnersgroup.com,Error,,
convenis.de,301,https://www.preisvergleichapotheke.de/,"dns.vrg.de., pns.dtag.de., ns2.vrg.de."
investmentgroup.ch,302,https://www.partnersgroup.com,"ns-1730.awsdns-24.co.uk., ns-1506.awsdns-60.org., ns-427.awsdns-53.com., ns-860.awsdns-43.net."
notification.partnersgroup.com,Error,,
p3-privateequity.net,307,https://www.p3-privateequity.net/en/,"ns-1778.awsdns-30.co.uk., ns-650.awsdns-17.net., ns-1292.awsdns-33.org., ns-391.awsdns-48.com."
partners.ch,302,https://www.partnersgroup.com,"ns-1029.awsdns-00.org., ns-654.awsdns-17.net., ns-185.awsdns-23.com., ns-1823.awsdns-35.co.uk."
partnersgroup-privateequity.com,302,https://www.partnersgroup.com,"ns-479.awsdns-59.com., ns-1822.awsdns-35.co.uk., ns-1206.awsdns-22.org., ns-690.awsdns-22.net."
partnersgroup.ae,302,https://www.partnersgroup.com,"ns-1721.awsdns-23.co.uk., ns-674.awsdns-20.net., ns-420.awsdns-52.com., ns-1182.awsdns-19.org."
partnersgroup.asia,302,https://www.partnersgroup.com,"ns-865.awsdns-44.net., ns-1939.awsdns-50.co.uk., ns-221.awsdns-27.com., ns-1406.awsdns-47.org."
partnersgroup.at,302,https://www.partnersgroup.com,"ns-1728.awsdns-24.co.uk., ns-772.awsdns-32.net., ns-1222.awsdns-24.org., ns-289.awsdns-36.com."
partnersgroup.ba,302,https://www.partnersgroup.com,"ns-1215.awsdns-23.org., ns-1614.awsdns-09.co.uk., ns-391.awsdns-48.com., ns-563.awsdns-06.net."
partnersgroup.biz,301,https://www.partnersgroup.com/,"ns-539.awsdns-03.net., ns-1752.awsdns-27.co.uk., ns-313.awsdns-39.com., ns-1455.awsdns-53.org."
partnersgroup.by,Error,,
partnersgroup.ch,301,https://www.partnersgroup.com/,"ns-1651.awsdns-14.co.uk., ns-1152.awsdns-16.org., ns-392.awsdns-49.com., ns-662.awsdns-18.net."
partnersgroup.cn,302,https://www.partnersgroup.com,"ns-301.awsdns-37.com., ns-822.awsdns-38.net., ns-1679.awsdns-17.co.uk., ns-1111.awsdns-10.org."
partnersgroup.co.gg,302,https://www.partnersgroup.com,"ns-1761.awsdns-28.co.uk., ns-1453.awsdns-53.org., ns-820.awsdns-38.net., ns-43.awsdns-05.com."
partnersgroup.co.id,302,https://www.partnersgroup.com,"ns-470.awsdns-58.com., ns-870.awsdns-44.net., ns-1353.awsdns-41.org., ns-1630.awsdns-11.co.uk."
partnersgroup.co.il,302,https://www.partnersgroup.com,"ns-1240.awsdns-27.org., ns-636.awsdns-15.net., ns-2033.awsdns-62.co.uk., ns-202.awsdns-25.com."
partnersgroup.co.kr,302,https://www.partnersgroup.com,"ns-124.awsdns-15.com., ns-1428.awsdns-50.org., ns-928.awsdns-52.net., ns-1927.awsdns-48.co.uk."
partnersgroup.co.nz,302,https://www.partnersgroup.com,"ns-811.awsdns-37.net., ns-1707.awsdns-21.co.uk., ns-216.awsdns-27.com., ns-1235.awsdns-26.org."
partnersgroup.co.uk,302,https://www.partnersgroup.com,"ns-621.awsdns-13.net., ns-1388.awsdns-45.org., ns-450.awsdns-56.com., ns-1906.awsdns-46.co.uk."
partnersgroup.co.za,302,https://www.partnersgroup.com,"ns-11.awsdns-01.com., ns-1093.awsdns-08.org., ns-1880.awsdns-43.co.uk., ns-821.awsdns-38.net."
partnersgroup.com.au,302,https://www.partnersgroup.com,"ns-273.awsdns-34.com., ns-1603.awsdns-08.co.uk., ns-1039.awsdns-01.org., ns-846.awsdns-41.net."
